timestamp,raw_green,filtered_signal,bpm_fft,bpm_peaks,confidence
1772578205.191553,15.79,,,,
1772578205.2249658,23.83,,,,
1772578205.261379,30.63,,,,
1772578205.2950542,37.62,,,,
1772578205.3294542,42.86,,,,
1772578205.360199,47.38,,,,
1772578205.3947258,51.95,,,,
1772578205.427722,55.37,,,,
1772578205.461472,59.95,,,,
1772578205.495487,63.63,,,,
1772578205.533843,66.57,,,,
1772578205.5667431,69.96,,,,
1772578205.6033669,71.96,,,,
1772578205.6662989,74.6,,,,
1772578205.739358,77.36,,,,
1772578205.816003,81.42,,,,
1772578205.879636,85.3,,,,
1772578205.946938,89.06,,,,
1772578205.983144,88.09,,,,
1772578206.042549,93.43,,,,
1772578206.104945,93.01,,,,
1772578206.1466072,94.84,,,,
1772578206.2070432,97.01,,,,
1772578206.246633,100.1,,,,
1772578206.3119192,100.76,,,,
1772578206.379274,98.38,,,,
1772578206.439308,99.88,,,,
1772578206.472815,101.87,,,,
1772578206.510188,105.53,,,,
1772578206.552619,105.44,,,,
1772578206.613688,105.61,,,,
1772578206.65076,104.3,,,,
1772578206.7047548,106.34,,,,
1772578206.744534,106.66,,,,
1772578206.788312,107.72,,,,
1772578206.835021,108.72,,,,
1772578206.892527,108.48,,,,
1772578206.933527,109.15,,,,
1772578206.987563,110.02,,,,
1772578207.048216,109.49,,,,
1772578207.084864,110.71,,,,
1772578207.152601,108.78,,,,
1772578207.219934,107.29,,,,
1772578207.2848809,106.71,,,,
1772578207.327343,108.85,,,,
1772578207.388044,105.55,,,,
1772578207.4361851,93.8,,,,
1772578207.493006,87.17,,,,
1772578207.530287,109.3,,,,
1772578207.586443,114.11,,,,
1772578207.625823,118.59,,,,
1772578207.6851368,116.49,,,,
1772578207.718024,110.27,,,,
1772578207.759168,110.13,,,,
1772578207.812384,115.05,,,,
1772578207.88239,114.29,,,,
1772578207.947741,110.45,,,,
1772578207.990276,113.06,,,,
1772578208.050307,115.36,,,,
1772578208.119172,118.1,,,,
1772578208.172559,119.92,,,,
1772578208.224854,118.18,,,,
1772578208.269465,120.43,,,,
1772578208.322336,118.31,,,,
1772578208.373441,118.99,,,,
1772578208.42407,118.98,,,,
1772578208.488565,119.39,,,,
1772578208.522143,118.95,,,,
1772578208.581227,119.93,,,,
1772578208.6507468,116.71,,,,
1772578208.710743,113.36,,,,
1772578208.7468228,109.89,,,,
1772578208.7853599,108.15,,,,
1772578208.848195,108.6,,,,
1772578208.8874292,106.64,,,,
1772578208.9277701,106.34,,,,
1772578208.9885252,104.35,,,,
1772578209.054739,104.77,,,,
1772578209.106824,103.26,,,,
1772578209.151823,104.49,,,,
1772578209.218372,103.35,,,,
1772578209.286788,103.56,,,,
1772578209.351686,105.61,,,,
1772578209.406386,105.42,,,,
1772578209.440505,105.45,,,,
1772578209.4724212,105.38,,,,
1772578209.5068831,106.74,,,,
1772578209.544255,107.59,,,,
1772578209.607888,106.08,,,,
1772578209.641984,106.83,,,,
1772578209.6772249,106.94,,,,
1772578209.716125,106.16,,,,
1772578209.776615,104.49,,,,
1772578209.817803,106.83,,,,
1772578209.888673,106.59,,,,
1772578209.9568489,108.12,,,,
1772578210.022388,107.74,,,,
1772578210.061568,110.0,,,,
1772578210.1107972,110.19,,,,
1772578210.145386,110.21,,,,
1772578210.1809568,111.72,,,,
1772578210.2170281,110.55,,,,
1772578210.258999,108.4,,,,
1772578210.309202,109.82,,,,
1772578210.347423,109.34,,,,
1772578210.412825,107.32,,,,
1772578210.449192,107.34,,,,
1772578210.4885602,107.54,,,,
1772578210.5311282,110.14,,,,
1772578210.5836108,110.29,,,,
1772578210.626955,107.4,,,,
1772578210.683979,105.63,,,,
1772578210.7513468,109.6,,,,
1772578210.805629,112.31,,,,
1772578210.835496,108.73,,,,
1772578210.867247,112.1,,,,
1772578210.901737,112.57,,,,
1772578210.9411578,109.95,,,,
1772578210.989511,112.78,,,,
1772578211.050297,112.57,,,,
1772578211.087391,114.1,,,,
1772578211.156184,113.35,,,,
1772578211.249145,110.65,,,,
1772578211.296041,111.27,,,,
1772578211.353174,113.31,,,,
1772578211.389602,114.79,,,,
1772578211.452178,113.35,,,,
1772578211.530724,112.29,,,,
1772578211.587548,111.49,,,,
1772578211.645962,113.03,,,,
1772578211.6762729,113.09,,,,
1772578211.7558012,112.08,,,,
1772578211.867712,111.33,,,,
1772578211.9251049,110.48,,,,
1772578211.9825048,111.21,,,,
1772578212.0386372,111.72,,,,
1772578212.072372,111.12,,,,
1772578212.104934,110.17,,,,
1772578212.14382,110.04,,,,
